"Notes"	"Cancer Sites"	"Cancer Sites Code"	"States"	"States Code"	"Year"	"Year Code"	"Race"	"Race Code"	"Age Groups"	"Age Groups Code"	Count
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2010"	"2010"	"Black or African American"	"2054-5"	"35-39 years"	"35-39"	25
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2010"	"2010"	"Black or African American"	"2054-5"	"40-44 years"	"40-44"	65
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2010"	"2010"	"Black or African American"	"2054-5"	"45-49 years"	"45-49"	93
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2010"	"2010"	"Black or African American"	"2054-5"	"50-54 years"	"50-54"	117
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2010"	"2010"	"Black or African American"	"2054-5"	"55-59 years"	"55-59"	121
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2010"	"2010"	"Black or African American"	"2054-5"	"60-64 years "	"60-64"	119
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2010"	"2010"	"Black or African American"	"2054-5"	"65-69 years"	"65-69"	79
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2010"	"2010"	"Black or African American"	"2054-5"	"70-74 years"	"70-74"	66
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2010"	"2010"	"Black or African American"	"2054-5"	"75-79 years"	"75-79"	67
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2010"	"2010"	"Black or African American"	"2054-5"	"80-84 years"	"80-84"	39
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2010"	"2010"	"Black or African American"	"2054-5"	"85+ years"	"85+"	38
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2010"	"2010"	"White"	"2106-3"	"30-34 years"	"30-34"	35
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2010"	"2010"	"White"	"2106-3"	"35-39 years"	"35-39"	53
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2010"	"2010"	"White"	"2106-3"	"40-44 years"	"40-44"	122
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2010"	"2010"	"White"	"2106-3"	"45-49 years"	"45-49"	214
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2010"	"2010"	"White"	"2106-3"	"50-54 years"	"50-54"	247
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2010"	"2010"	"White"	"2106-3"	"55-59 years"	"55-59"	297
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2010"	"2010"	"White"	"2106-3"	"60-64 years "	"60-64"	398
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2010"	"2010"	"White"	"2106-3"	"65-69 years"	"65-69"	330
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2010"	"2010"	"White"	"2106-3"	"70-74 years"	"70-74"	273
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2010"	"2010"	"White"	"2106-3"	"75-79 years"	"75-79"	230
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2010"	"2010"	"White"	"2106-3"	"80-84 years"	"80-84"	166
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2010"	"2010"	"White"	"2106-3"	"85+ years"	"85+"	152
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2011"	"2011"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	20
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2011"	"2011"	"Black or African American"	"2054-5"	"35-39 years"	"35-39"	27
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2011"	"2011"	"Black or African American"	"2054-5"	"40-44 years"	"40-44"	67
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2011"	"2011"	"Black or African American"	"2054-5"	"45-49 years"	"45-49"	102
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2011"	"2011"	"Black or African American"	"2054-5"	"50-54 years"	"50-54"	118
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2011"	"2011"	"Black or African American"	"2054-5"	"55-59 years"	"55-59"	98
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2011"	"2011"	"Black or African American"	"2054-5"	"60-64 years "	"60-64"	108
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2011"	"2011"	"Black or African American"	"2054-5"	"65-69 years"	"65-69"	96
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2011"	"2011"	"Black or African American"	"2054-5"	"70-74 years"	"70-74"	74
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2011"	"2011"	"Black or African American"	"2054-5"	"75-79 years"	"75-79"	63
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2011"	"2011"	"Black or African American"	"2054-5"	"80-84 years"	"80-84"	40
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2011"	"2011"	"Black or African American"	"2054-5"	"85+ years"	"85+"	24
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2011"	"2011"	"White"	"2106-3"	"30-34 years"	"30-34"	30
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2011"	"2011"	"White"	"2106-3"	"35-39 years"	"35-39"	59
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2011"	"2011"	"White"	"2106-3"	"40-44 years"	"40-44"	106
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2011"	"2011"	"White"	"2106-3"	"45-49 years"	"45-49"	213
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2011"	"2011"	"White"	"2106-3"	"50-54 years"	"50-54"	242
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2011"	"2011"	"White"	"2106-3"	"55-59 years"	"55-59"	330
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2011"	"2011"	"White"	"2106-3"	"60-64 years "	"60-64"	399
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2011"	"2011"	"White"	"2106-3"	"65-69 years"	"65-69"	340
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2011"	"2011"	"White"	"2106-3"	"70-74 years"	"70-74"	288
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2011"	"2011"	"White"	"2106-3"	"75-79 years"	"75-79"	227
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2011"	"2011"	"White"	"2106-3"	"80-84 years"	"80-84"	181
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2011"	"2011"	"White"	"2106-3"	"85+ years"	"85+"	142
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2012"	"2012"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	18
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2012"	"2012"	"Black or African American"	"2054-5"	"35-39 years"	"35-39"	35
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2012"	"2012"	"Black or African American"	"2054-5"	"40-44 years"	"40-44"	55
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2012"	"2012"	"Black or African American"	"2054-5"	"45-49 years"	"45-49"	99
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2012"	"2012"	"Black or African American"	"2054-5"	"50-54 years"	"50-54"	108
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2012"	"2012"	"Black or African American"	"2054-5"	"55-59 years"	"55-59"	118
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2012"	"2012"	"Black or African American"	"2054-5"	"60-64 years "	"60-64"	122
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2012"	"2012"	"Black or African American"	"2054-5"	"65-69 years"	"65-69"	107
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2012"	"2012"	"Black or African American"	"2054-5"	"70-74 years"	"70-74"	71
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2012"	"2012"	"Black or African American"	"2054-5"	"75-79 years"	"75-79"	42
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2012"	"2012"	"Black or African American"	"2054-5"	"80-84 years"	"80-84"	29
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2012"	"2012"	"Black or African American"	"2054-5"	"85+ years"	"85+"	36
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2012"	"2012"	"White"	"2106-3"	"30-34 years"	"30-34"	25
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2012"	"2012"	"White"	"2106-3"	"35-39 years"	"35-39"	50
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2012"	"2012"	"White"	"2106-3"	"40-44 years"	"40-44"	127
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2012"	"2012"	"White"	"2106-3"	"45-49 years"	"45-49"	218
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2012"	"2012"	"White"	"2106-3"	"50-54 years"	"50-54"	287
